injected,dropped,trials,accepted_rate
0,0,100,1.0
0,1,100,0.0
0,2,100,0.0
0,3,100,0.0
0,4,100,0.0
0,5,100,0.0
0,6,100,0.0
0,7,100,0.0
0,8,100,0.0
1,0,100,0.0
1,1,100,1.0
1,2,100,0.0
1,3,100,0.0
1,4,100,0.0
1,5,100,0.0
1,6,100,0.0
1,7,100,0.0
1,8,100,0.0
2,0,100,0.0
2,1,100,0.0
2,2,100,1.0
2,3,100,0.0
2,4,100,0.0
2,5,100,0.0
2,6,100,0.0
2,7,100,0.0
2,8,100,0.0
3,0,100,0.0
3,1,100,0.0
3,2,100,0.0
3,3,100,1.0
3,4,100,0.0
3,5,100,0.0
3,6,100,0.0
3,7,100,0.0
3,8,100,0.0
4,0,100,0.0
4,1,100,0.0
4,2,100,0.0
4,3,100,0.0
4,4,100,1.0
4,5,100,0.0
4,6,100,0.0
4,7,100,0.0
4,8,100,0.0
5,0,100,0.0
5,1,100,0.0
5,2,100,0.0
5,3,100,0.0
5,4,100,0.0
5,5,100,1.0
5,6,100,0.0
5,7,100,0.0
5,8,100,0.0
6,0,100,0.0
6,1,100,0.0
6,2,100,0.0
6,3,100,0.0
6,4,100,0.0
6,5,100,0.0
6,6,100,1.0
6,7,100,0.0
6,8,100,0.0
7,0,100,0.0
7,1,100,0.0
7,2,100,0.0
7,3,100,0.0
7,4,100,0.0
7,5,100,0.0
7,6,100,0.0
7,7,100,1.0
7,8,100,0.0
8,0,100,0.0
8,1,100,0.0
8,2,100,0.0
8,3,100,0.0
8,4,100,0.0
8,5,100,0.0
8,6,100,0.0
8,7,100,0.0
8,8,100,1.0
